question,mi_bits,agreement,entropy_bits,k,t,temperature,max_tokens,label_any_correct,gold_answers
Which Cole Porter play won the first Tony Award for best musical in 1949?,1.285168,0.150000,3.546439,20,3,0.5,64,1,Kiss Me Kate | Kiss Me Kate (disambiguation) | kiss me kate disambiguation | kiss me kate
"Who, after marrying in 1791, and living in Naples, became the mistress of Lord Nelson, having his child, Horatia, in 1803?",0.579516,0.850000,0.847585,20,3,0.5,64,1,"Lady Emma Hamilton | Lady Hamilton Emma | Lady Hamilton | Emma Lyon | Emma Hamilton | Emma Hart | Emma, Lady Hamilton | lady emma hamilton | emma lyon | emma lady hamilton | emma hamilton | lady hamilton | emma hart | lady hamilton emma"
The term 'the fourth wall' would be used for an imaginary wall in what type of building?,0.961628,0.450000,2.895462,20,3,0.5,64,1,Theatre | Theatrical | Children's Theater | Theatre Art | Theater art | Theatrics | Theater Arts | Theatre Arts | Children's theater | Theater Art | Live theater | Children's theatre | Theatre companies | Theatre arts | A Theater | Theater | Stage productions | Theatres | Theatrer | Theatrical company | Live theatre | Entertainment venue | Theatre art | Theatre Studies | Stage theater | Theatre company | Theaters | Theater company | Theatrical scene | Theater arts | theatrical company | theater company | theater arts | theatrical | theatre studies | theatre | stage productions | theatre art | theatre company | theaters | stage theater | theatrical scene | theatre arts | theatres | theatre companies | live theatre | entertainment venue | children s theater | live theater | theatrics | theater art | theatrer | theater | children s theatre
Which millionaire introduced a free school milk programme in Chicago to combat rickets?,0.960180,0.300000,3.546439,20,3,0.5,64,0,AL CAPONE | Alfonse %22Scarface%22 Capone | CaPone | Alphonse Gabriel %22Al%22 Capone | Mae Capone | Alphonse G Capone | Al Capone | Capone | Alphonse Gabriel Capone | Scarface (American gangster) | Al Cappone | Mae Coughlin | Alphonse Capone | Scarface Capone | Al capone | Albert Francis Capone | Alphonse G. Capone | scarface capone | alphonse g capone | alfonse 22scarface 22 capone | alphonse gabriel capone | al capone | alphonse gabriel 22al 22 capone | mae capone | capone | alphonse capone | albert francis capone | al cappone | mae coughlin | scarface american gangster
Which US comic superhero has the real name Steve Rogers?,0.532356,0.800000,1.121928,20,3,0.5,64,1,Captain America | Captain America (comic book) | Captain America (comics) | Steve Rogers (Marvel Comics) | Cap. America | Super-Soldier Formula | Captian america serial | Operation: Rebirth | Captain America (Steve Rogers) | Captain America: Sentinel of Liberty | Steve Rogers (comics) | Cap America | Captian america | Captain America's Weird Tales | Stephen Grant Rogers/Captain America | Weapon I | Captain America Comics | Captain america | Capt. america | Steven Grant Rogers | Captain America's Motorcycle | Steven %22Steve%22 Rogers | Captain America (Marvel Comics) | Captain Armenia | Captain Steve Rogers | weapon i | super soldier formula | captain armenia | captain america marvel comics | captain america s weird tales | capt america | captain america sentinel of liberty | operation rebirth | captian america serial | captain steve rogers | steve rogers marvel comics | captain america comic book | steven grant rogers | cap america | stephen grant rogers captain america | captain america comics | captian america | captain america s motorcycle | captain america steve rogers | steven 22steve 22 rogers | captain america | steve rogers comics
"According to Arthurian legend, Arthur's wife Guinevere, had a little on the side with which Knight of the Round Table?",0.873223,0.350000,2.939354,20,3,0.5,64,1,Lancelot | Lancelot du Lac | Chevalier mal fet | Evaine | Lancelot of the Lake | Sir launcelot du lake | Aroundight | Arondight | Sir Lancelot | Sir Lancelot Du Lac | Llenlleawg | Joyousgard | Sir Launcelot | Sir lancealot | Joyous Gard | Llwch Llenlleawg | Launcelot | Joyous Guard | Launcelot du Lac | Joyous Garde | joyousgard | launcelot | launcelot du lac | arondight | sir lancelot du lac | joyous gard | llenlleawg | sir launcelot | lancelot of lake | joyous garde | lancelot du lac | lancelot | joyous guard | chevalier mal fet | sir launcelot du lake | llwch llenlleawg | aroundight | sir lancelot | sir lancealot | evaine
"Who won the 2010 Boston Marathon with a time of 2:05:52, easily breaking the course record of 2:07:14?",1.150762,0.200000,3.621928,20,3,0.5,64,1,Robert Kiprono Cheruiyot | robert kiprono cheruiyot
"In alphabetical order, what is the last U.S. state?",1.285202,0.350000,3.001609,20,3,0.5,64,1,"Wyoming | State of Wyoming | Wyoming state symbols | Wyoming (state) | Cowboy State | Geography of Wyoming | Education in Wyoming | Transport in Wyoming | Forty-Fourth State | Law and government of Wyoming | Constitution of the State of Wyoming | Symbols of the State of Wyoming | Wyoming metropolitan areas | Wyoming economy | Constitution of Wyoming | Demographics of Wyoming | Big Wonderful Wyoming | Wyoming counties | Sports in Wyoming | Equality State | Wyoming state nickname | The Equality State | Religion in Wyoming | 44th State | Wyomingite | US-WY | Wioming | Wyoming State Constitution | Economy of Wyoming | Wyoming factsheet | Transportation in Wyoming | Government of Wyoming | The Cowboy State | Politics of Wyoming | Wyomingites | Wyoming (U.S. state) | Wyoming, United States | Forty-fourth State | Wyo. | Climate of Wyoming | symbols of state of wyoming | demographics of wyoming | wioming | government of wyoming | wyoming state | wyoming united states | religion in wyoming | economy of wyoming | us wy | climate of wyoming | constitution of state of wyoming | 44th state | geography of wyoming | transport in wyoming | wyoming | constitution of wyoming | education in wyoming | law and government of wyoming | wyoming economy | wyoming state symbols | wyoming state nickname | transportation in wyoming | wyomingite | state of wyoming | wyo | sports in wyoming | cowboy state | forty fourth state | wyoming metropolitan areas | wyoming state constitution | wyoming factsheet | wyoming counties | big wonderful wyoming | politics of wyoming | wyomingites | equality state | wyoming u s state"
"In internet/texting parlance, what does tl;dr mean?",0.996398,0.050000,4.321928,20,3,0.5,64,0,"Too long, didn't read | TL | DR | Tl | dr | TL-DR | Too long | didn't read | tl dr | too long didn t read"
"What commonly used English Latin expression means literally 'so' or 'thus' or 'in this manner', and generally refers to a quoted error?",0.996398,0.050000,4.321928,20,3,0.5,64,0,"Sic | Sic, recte | Sic (Latin) | Sic (latin) | Recte | Bracketed sic | Sicut | Sic! | (sic) | sic recte | bracketed sic | sicut | recte | sic | sic latin"
