k,t,label_any_correct,entropy_bits,temperature,max_tokens,gold_answers,question,mi_bits,agreement,verify_score
10,3,0,0.000000,0.5,64,Steve Coogan,Who voices the hairless cat in secret life of pets?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,her first love | Devon | her first love Devon | Devon Carter | Lil' J | Jonathan Richard McDaniel,Who did raven marry in that's so raven?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,David Crowder | David Wallace Crowder | Crowder,Who wrote come as you are by crowder?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Jerry Leiber and Mike Stoller,Who wrote you ain't nothin but a hound dog?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Fiji,Where is the current season of survivor being played?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Dewey Bunnell | America,Who sings been through the desert on a horse with no name?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Angela Bartys | America Ferrera,Who plays astrid how to train your dragon?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,1945,What year was germany split into east and west?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,1931–1971 | 1931 until 1972 | 1931 to 1970 | nearly 40 years | 40 years,How long was the empire state building the tallest building?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Jeanne Calment | Sarah Knauss | Kane Tanaka | Jean Calment,Who is the person who has lived the longest?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"1969 | Brandenburg v. Ohio, 395 U.S. 444 (1969) | Clarence Brandenburg v. State of Ohio | Brandenburg v. Ohio",Who played nancy's boyfriend in stranger things?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,The B of A | Bank of America Stadium | The Bank | The Vault | The BOA | Memorial Stadium,What is the name of the stadium where the carolina panthers play?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Joseph G. McCoy | Joseph ""Cowboy' McCoy",Who set up the first stockyard for texas cattle in abilene kansas?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"May 29, 1851 | June 21, 1851 | May 1863 | 1981",When was ain't i a woman written?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"25,000–70,000 | 6,800 | 10,000 | 17,000 | 25,000 | 70,000",How many american lives were lost in the revolutionary war?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,the castle's motherly head housekeeper | Emma Thompson | Thompson | housekeeper | Dame Emma Thompson DBE | Dame Emma Thompson,Who is mrs potts in beauty and the beast 2017?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"September 13, 1996 | December 3, 2002 | August 5, 2014 | April 18, 2015 | January 22, 2006",When did dragon ball z come out in america?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,freeware | Video editing software,Microsoft live movie maker is an example of free?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,2006 | 2006 National League playoffs,When is the last time the padres made the playoffs?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Wayne Northrop,Who played the original roman on days of our lives?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Albany Congress | Albany Convention of 1754 | 1754 | July 10, 1754",When did the albany plan of union take place?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"August 28, 2015 | August 20, 2013 | September 13, 2011",When did ben rectors new album come out?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,20 March 2018,When does ex on the beach season 8 start?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Argentina 78 | 1978 | 1978 FIFA World Cup | 1978 FIFA World Cup Final | Copa Mundial de Fútbol Argentina '78 | 25 June 1978 | 1986 FIFA World Cup | Copa Mundial de Fútbol México '86 | 1986 | 29 June 1986 | 13th FIFA World Cup | 1986 FIFA World Cup Final | Mexico '86,When has argentina won the fifa world cup?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Arctic Circle | Tropic of Cancer | Equator | Tropic of Capricorn | Antarctic Circle,What are the 5 major circles of latitude?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,about 6 billion,How many base pairs in diploid human genome?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Anagram | Dyslexia | anagram,What is it called when you mix up the letters of a word?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,before or after Easter | from March to April | week of the third Monday in April | April | usually around Easter | March,When does spring break start in the us?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Vancouver, British Columbia",Where was the movie come and find me filmed?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"US$13,100,000,000 | US$11.6 billion",How much did it cost rio to host the olympics?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Eris Baker | daughter of Randall and Beth Pearson,Who is the character tess in this is us?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Ruism | Confucianism,The analects have been attributed to the founder of this religion?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,United States National Parks | United States national parks | Federal recreation entrance or standard amenity fee sites,Where can i use my golden age passport?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,1978 | 1999 | 1993 | 1973 | 2011 | 1965,When was the new international version bible written?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,South Africa and Namibia and between South Africa and Lesotho,Which international border does the gariep-orange follow before it enters the sea?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Libertas | Liberty | Liberty (personification) | István Horthy,Who is the statue of liberty supposed to be?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Romano-Britains | Magnus Maximus,Who got rid of the romans in britain?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Bravery | Daniel Tudhope | Daniel ""Danny"" Tudhope | David O'Meara | Secret Brief | William Buick | Charlie Appleby | Gabrial | Tony Hamilton | Richard Fahey",Who won the lincoln horse race last year?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,members of Parliament | the members of Parliament | Parliament | European People's Party (EPP) and Party of European Socialists (PES),Who elects the president of the european parliament?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Aaron Finch | Aaron James Finch | Afghanistan national cricket team | Afganistan | 75 | Kasun Rajitha,Highest runs in t20 international in an innings?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"India, Pakistan | India, Bangladesh | Bangladesh | India | Japan",Who won the match of asia cup 2018?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Lilly Singh,Who plays the teacher on f the prom?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,scrolling | running | exercise,Some mice have a wheel in the middle. generally what is this wheel for?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Winston Churchill | Lord Linlithgow | Linlithgow | Victor Hope, 2nd Marquess of Linlithgow | Victor Alexander John Hope, 2nd Marquess of Linlithgow | Victor Alexander John Hope | Sir Winston Leonard Spencer-Churchill",Who was british pm and viceroy during quit india movement?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"January 26, 1992 | Superbowl 26 | Superbowl XXVI | January 22, 1984 | Superbowl XVIII | Superbowl 18 | January 31, 1988 | Superbowl XXII | Superbowl 22",When did the redskins go to the superbowl?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,PewDiePie | Pewdiepie | Felix Arvis Ulf Kjellberg,Who is the most subscribed vlogger on youtube?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,interphase | Interphase,Which last longer the mitotic phase or interphase?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,vegetable oils | palm oil | hydrogenated vegetable oils,Kind of oil that has been turned into a solid fat?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"July 21, 2018 | August 26 - December 4 2017 | August 26, 2017 - December 4, 2017",When does last chance u season 3 take place?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"August 4, 2011 | October 20, 2011 | January 5, 2012 | March 15, 2012 | October 4, 2012 | December 20, 2012",When did the last season of jersey shore air?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,2012 | 1997,When was the last time uc made the sweet 16?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,27 April 1995,When was freedom day first celebrated in south africa?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Sykes | Paddy | Terrier,What is the dog called in midsomer murders?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Wall Street area, an abandoned Catholic school, and Grand Central Terminal in New York City | Paris Charles de Gaulle Airport, Roissy-en-France, Val-d'Oise, France | New York City, White Plains, Hastings-on-Hudson, and Irvington, New York | London | Paris, France | New York City | New York City, White Plains, Hastings-on-Hudson, Irvington NY | London England",Where did they film girl on a train?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"March 4, 2018",When does the good fight season 2 start?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Clock Tower | Elizabeth Tower | The Elizabeth Tower | the Clock Tower,What is the name of the tower big ben is in?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Len Dawson, Bob Griese, Hank Stram, Ron Woodson | Len Dawson | Bob Griese | Hank Stram | Rod Woodson",Purdue football players in nfl hall of fame?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Richard Lee Jackson,Who plays sonny in love's long journey?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Alley Mills,Who played the mother in the wonder years?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,five | 5,How many episodes are there to my mother and other strangers?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"April 12, 1971 | February 1971 | November 25, 1985",When did the song country roads come out?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,/ˌwɑːɡəˈduːɡuː/ | [ˈwɔɣədəɣʊ] | [waɡaduɡu],How do you pronounce the capital of burkina faso?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,March 1837,When did the us recognize texas as an independent nation?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Andrew the Apostle | Saint Andrew | Eulària | Aulazia | Saint Eulalia | Olalla | Aulaire,Who was crucified on an x shaped cross?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Mrs. Loud | Lorraine Crosby | Dana Patrick | Patti Russo,Who sings with meatloaf in anything for love?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,The Directors | Directors,Who has responsibility for preparing corporate annual reports?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"August 29, 1949",When was the first soviet atomic bomb tested?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"John O'Sullivan | Jane Cazneau | extending the area of freedom | ""a sense of mission to redeem the Old World by high example ... generated by the potentialities of a new earth for building a new heaven",Who coined the phrase manifest destiny and what does it mean?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Svartsengi geothermal power station | nearby geothermal power plant Svartsengi | Geothermal power plant | Svartsengi | geothermal power station | Umgeni River,Where does the blue lagoon water come from?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Meiji era | Meiji | The Meiji era,What is the name of the period in japanese history that began in 1868?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Alonzo Alvarez de Pineda | Hernando de Soto,Who was the first european to discover the mississippi river?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Season 5 Episode 9 | Frame Toby | November 20, 2008",When does toby come back to the office?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,7 | 3,How many episodes of sherlock are there in season 1?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,superior orbital fissure and supraorbital notch | passes through the orbit superiorly | through the nasal bones | through the anterior ethmoidal foramen,Where does the ophthalmic nerve exit the skull?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,two | three | four,How many stars are on the chicago flag?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"1,041,427 | 1,041,427 SHU | more than 1 million",How much scoville units is a ghost pepper?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Bourbon Street | Canal Street,What's the famous street in new orleans?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Cape Gracias a Dios | northeastern Central America | Central America | Louisiana,Where did hurricane edith make landfall in 1971?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"December 13, 2017 | December 6, 2017 | November 29, 2017 | May 26, 2017 | February 15, 2016 | March 16, 2015",When does the next episode of the next step come out?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Miley Ray Cyrus | Cyrus | Destiny Hope Cyrus | Miley Cyrus,Who sings came in like a wrecking ball?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Franklin Shea Whigham Jr. | Wigham | Shea Whigham | Uchida | Naoya Uchida | Chris Britton | Britton | Christopher Britton | Matsushige | Yutaka Matsushige | Takeshi Kaga,Who plays light's dad in death note?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Vee Parker, and  Rosa Cisneros | Vee Parker | Vee | Yvonne Parker",Who dies in season 2 of orange is the new black?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Tatyana M. Ali | Tatyana Marisol Ali | Ali,Who plays ashley on fresh prince of bel-air?,0.000000,1.000000,0.000000
