t,mi_bits,label_any_correct,entropy_bits,question,temperature,verify_score,k,agreement,gold_answers,max_tokens
3,0.985645,0,3.321928,Who voices the hairless cat in secret life of pets?,0.7,0.000000,10,0.100000,Steve Coogan,64
3,0.985645,0,3.321928,Who did raven marry in that's so raven?,0.7,0.000000,10,0.100000,her first love | Devon | her first love Devon | Devon Carter | Lil' J | Jonathan Richard McDaniel,64
3,0.985645,0,3.321928,Who wrote come as you are by crowder?,0.7,0.000000,10,0.100000,David Crowder | David Wallace Crowder | Crowder,64
3,0.985645,0,3.321928,Who wrote you ain't nothin but a hound dog?,0.7,0.000000,10,0.100000,Jerry Leiber and Mike Stoller,64
3,0.985645,0,3.321928,Where is the current season of survivor being played?,0.7,0.000000,10,0.100000,Fiji,64
3,0.985645,1,3.321928,Who sings been through the desert on a horse with no name?,0.7,0.000000,10,0.100000,Dewey Bunnell | America,64
3,0.985645,0,3.321928,Who plays astrid how to train your dragon?,0.7,0.000000,10,0.100000,Angela Bartys | America Ferrera,64
3,0.985645,0,3.321928,What year was germany split into east and west?,0.7,0.000000,10,0.100000,1945,64
3,0.985645,0,3.321928,How long was the empire state building the tallest building?,0.7,0.000000,10,0.100000,1931–1971 | 1931 until 1972 | 1931 to 1970 | nearly 40 years | 40 years,64
3,0.985645,0,3.321928,Who is the person who has lived the longest?,0.7,0.000000,10,0.100000,Jeanne Calment | Sarah Knauss | Kane Tanaka | Jean Calment,64
3,0.985645,0,3.321928,Who played nancy's boyfriend in stranger things?,0.7,0.000000,10,0.100000,"1969 | Brandenburg v. Ohio, 395 U.S. 444 (1969) | Clarence Brandenburg v. State of Ohio | Brandenburg v. Ohio",64
3,0.985645,0,3.321928,What is the name of the stadium where the carolina panthers play?,0.7,0.000000,10,0.100000,The B of A | Bank of America Stadium | The Bank | The Vault | The BOA | Memorial Stadium,64
3,0.985645,0,3.321928,Who set up the first stockyard for texas cattle in abilene kansas?,0.7,0.000000,10,0.100000,"Joseph G. McCoy | Joseph ""Cowboy' McCoy",64
3,0.985645,0,3.321928,When was ain't i a woman written?,0.7,0.000000,10,0.100000,"May 29, 1851 | June 21, 1851 | May 1863 | 1981",64
3,0.985645,0,3.321928,How many american lives were lost in the revolutionary war?,0.7,0.000000,10,0.100000,"25,000–70,000 | 6,800 | 10,000 | 17,000 | 25,000 | 70,000",64
